roundID,score,movesExec,movesConsid,runtime
1108,27,275,457,0.000947583
1109,41,356,524,0.00123929
1110,32,331,521,0.00102533
1111,19,178,304,0.000506625
1112,15,99,142,0.000298958
1113,29,290,462,0.00102462
1114,36,387,577,0.0014945
1115,16,119,165,0.00036825
1116,31,257,415,0.000818208
1117,27,179,274,0.00056
1118,40,357,522,0.00131062
1119,23,205,296,0.000561125
1120,33,273,349,0.000861917
1121,38,376,614,0.00147971
1122,27,294,504,0.000905167
1123,22,193,282,0.000544583
1124,35,348,523,0.00125783
1125,33,300,507,0.001141
1126,27,210,281,0.000721166
1127,24,199,349,0.000577042
1128,30,267,430,0.000824375
1129,30,326,548,0.00106679
1130,38,353,545,0.00135962
1131,38,354,519,0.00124212
1132,17,157,206,0.000444709
1133,43,469,744,0.00193296
1134,31,269,395,0.000823542
1135,32,232,347,0.000768459
1136,36,377,585,0.00123842
1137,31,296,413,0.00110538
1138,33,281,406,0.000980166
1139,35,303,491,0.00110396
1140,31,323,500,0.00128762
1141,56,544,942,0.00205688
1142,34,429,646,0.00143133
1143,28,208,258,0.000686708
1144,22,180,219,0.000508959
1145,19,156,194,0.000463292
1146,25,224,366,0.000862541
1147,38,385,635,0.00133154
1148,36,361,640,0.00116454
1149,20,165,235,0.000466708
1150,35,303,474,0.000982583
1151,40,356,578,0.00125492
1152,28,268,381,0.000941042
1153,22,221,335,0.000677458
1154,45,544,982,0.00186183
1155,34,341,563,0.001231
1156,37,380,689,0.00116712
1157,24,191,260,0.000526292
1158,14,119,158,0.000311958
1159,16,144,224,0.000411916
1160,39,410,753,0.00145854
1161,18,119,167,0.000346708
1162,37,339,526,0.00105067
1163,24,200,269,0.000651541
1164,20,172,249,0.000556709
1165,36,415,708,0.00141517
1166,39,393,589,0.00157183
1167,39,405,651,0.00138204
1168,19,169,239,0.000508958
1169,27,234,310,0.000757208
1170,30,247,350,0.0008105
1171,41,451,762,0.00160325
1172,30,286,430,0.000898833
1173,16,127,174,0.000366334
1174,18,174,226,0.000490708
1175,26,214,286,0.000694542
1176,34,342,443,0.00109263
1177,21,215,364,0.000566125
1178,17,137,192,0.000509708
1179,36,335,514,0.00114692
1180,42,501,800,0.00180646
1181,26,237,373,0.000700875
1182,39,339,469,0.00131525
1183,21,147,214,0.000592541
1184,38,423,689,0.0014535
1185,50,554,961,0.0020425
1186,24,191,303,0.000577417
1187,47,541,972,0.0020925
1188,22,164,215,0.000543584
1189,34,328,477,0.00108837
1190,32,263,345,0.000872334
1191,45,483,741,0.00167558
1192,26,217,297,0.0006965
1193,25,207,287,0.0006765
1194,22,191,262,0.000602542
1195,22,168,253,0.000571583
1196,29,251,401,0.000905792
1197,21,196,289,0.000702375
1198,43,430,715,0.00164246
1199,49,510,792,0.00182654
1200,30,289,406,0.000955209
1201,24,201,260,0.000653125
1202,33,250,346,0.00093525
1203,24,201,301,0.000666375
1204,36,362,544,0.00139529
1205,21,162,223,0.000576667
1206,18,159,195,0.000463
1207,28,262,388,0.0008525
1208,38,395,658,0.00138021
1209,33,343,579,0.00129279
1210,28,234,302,0.000868791
1211,27,200,266,0.00066225
1212,37,317,455,0.00105021
1213,22,166,198,0.000521125
1214,31,243,351,0.000822542
1215,42,482,846,0.00170325
1216,30,279,477,0.000929834
1217,19,169,240,0.000454917
1218,32,298,456,0.00100033
1219,37,449,755,0.00170583
1220,37,313,434,0.00113321
1221,22,175,262,0.00055775
1222,16,135,204,0.000398375
1223,18,108,153,0.000339125
1224,33,339,581,0.00105838
1225,29,264,418,0.000910167
1226,24,198,250,0.0006605
1227,23,195,272,0.000630917
1228,22,187,280,0.000562959
1229,21,185,241,0.000585625
1230,27,264,401,0.000807833
1231,20,188,332,0.000520125
1232,31,303,538,0.00126717
1233,33,331,445,0.00123117
1234,28,228,299,0.000906542
1235,19,181,225,0.00052
1236,23,201,292,0.000596959
1237,19,171,283,0.000551125
1238,31,298,445,0.000910041
1239,18,128,191,0.000388458
1240,40,333,461,0.00119183
1241,32,286,439,0.000988584
1242,34,304,420,0.00121392
1243,23,202,291,0.000583584
1244,28,267,407,0.000880125
1245,26,217,296,0.000617666
1246,30,297,532,0.000931375
1247,44,447,746,0.0018905
1248,33,326,514,0.0010515
1249,38,436,709,0.00148387
1250,27,269,396,0.000921208
1251,32,355,659,0.00124417
1252,20,137,183,0.000411375
1253,23,218,283,0.000718042
1254,40,445,656,0.00171554
1255,46,478,886,0.00168925
1256,33,327,549,0.00116179
1257,26,191,263,0.000718167
1258,19,189,308,0.000542875
1259,21,223,330,0.00059625
1260,47,442,727,0.00169592
1261,32,279,401,0.0008965
1262,21,177,271,0.000545959
1263,24,222,316,0.0006705
1264,24,205,279,0.000605917
1265,36,359,606,0.00146642
1266,42,388,497,0.00165012
1267,29,282,424,0.000966292
1268,44,474,767,0.00164233
1269,36,361,531,0.00128829
1270,26,208,259,0.000698792
1271,33,322,514,0.0011055
1272,23,213,286,0.00074575
1273,41,458,730,0.00150421
